Index,Combined,Division,Dept,Course_x,Class#,Session,Modality,Component,Start,End,Days,Instructor,Room,Starting Enrollment,Current Enrollment,Capacity,Perc Drop,Graded Count,Success Count,Success Rate
0,0,BE,ACCT,ACCT 60,21945,9A,REMOTE,Lecture,19:00,21:50,Th,Browne,REMOTE,29,10,25,0.655172414,13,10,0.769230769
1,0,BE,ACCT,ACCT 61,21950,9A,ONLINE,Lecture,TBA,0,0,Ambriz,ONLINE,22,8,25,0.636363636,11,8,0.727272727
2,0,BE,ACCT,ACCT 61,21951,9B,ONLINE,Lecture,TBA,0,0,Ambriz,ONLINE,27,11,25,0.592592593,13,11,0.846153846
3,0,BE,ACCT,ACCT 100,21901,18,IN PERSON,Lecture,11:00,12:15,MW,Lantz,SS140,39,26,35,0.333333333,35,20,0.571428571
4,0,BE,ACCT,ACCT 100,21902,18,IN PERSON,Lecture,11:00,12:15,MW,Johnson,BE109,36,21,35,0.416666667,32,19,0.59375
5,0,BE,ACCT,ACCT 100,21903,18,ONLINE,Lecture,TBA,0,0,Lantz,ONLINE,40,20,35,0.5,27,15,0.555555556
6,0,BE,ACCT,ACCT 100,31425,18,ONLINE,Lecture,TBA,0,0,Lantz,ONLINE,36,17,35,0.527777778,30,11,0.366666667
7,0,BE,ACCT,ACCT 100,25200,18,IN PERSON,Lecture,14:00,15:15,TuTh,Moloney,BE111,40,27,35,0.325,33,22,0.666666667
8,0,BE,ACCT,ACCT 100,21906,18,IN PERSON,Lecture,9:30,10:45,TuTh,Tsang,BE109,35,22,35,0.371428571,32,19,0.59375
9,0,BE,ACCT,ACCT 100,21907,18,ONLINE,Lecture,TBA,0,0,Johnson,ONLINE,40,17,35,0.575,28,14,0.5
10,0,BE,ACCT,ACCT 100,21908,18,IN PERSON,Lecture,17:00,18:15,TuTh,Moloney,BE111,35,22,35,0.371428571,25,18,0.72
11,0,BE,ACCT,ACCT 100,27141,18,ONLINE,Lecture,TBA,0,0,Moloney,ONLINE,38,22,35,0.421052632,29,14,0.482758621
12,0,BE,ACCT,ACCT 100,24408,15B,ONLINE,Lecture,TBA,0,0,Farina,ONLINE,48,28,35,0.416666667,34,23,0.676470588
13,0,BE,ACCT,ACCT 100,21948,15B,ONLINE,Lecture,TBA,0,0,Browne,ONLINE,36,17,35,0.527777778,24,10,0.416666667
14,0,BE,ACCT,ACCT 100,33347,15B,ONLINE,Lecture,TBA,0,0,Bowman,ONLINE,58,13,35,0.775862069,17,8,0.470588235
15,0,BE,ACCT,ACCT 100,23561,15B,ONLINE,Lecture,TBA,0,0,Hoang,ONLINE,38,26,35,0.315789474,29,15,0.517241379
16,0,BE,ACCT,ACCT 100,21900,15B,IN PERSON,Lecture,19:00,22:30,M,Sauer,SS140,40,28,35,0.3,29,12,0.413793103
17,0,BE,ACCT,ACCT 101,21912,18,IN PERSON,Lecture,11:00,12:30,MW,Moloney,BE111,35,27,35,0.228571429,33,22,0.666666667
18,0,BE,ACCT,ACCT 101,21914,18,IN PERSON,Lecture,8:30,10:00,MW,Johnson,BE109,35,26,35,0.257142857,30,23,0.766666667
19,0,BE,ACCT,ACCT 101,21916,18,ONLINE,Lecture,TBA,0,0,Itokazu,ONLINE,41,34,35,0.170731707,38,24,0.631578947
20,0,BE,ACCT,ACCT 101,21918,18,IN PERSON,Lecture,19:30,21:00,MW,Villanueva,BE110,18,13,35,0.277777778,14,13,0.928571429
21,0,BE,ACCT,ACCT 101,21920,18,IN PERSON,Lecture,8:30,10:00,TuTh,Lantz,SS140,36,31,35,0.138888889,35,26,0.742857143
22,0,BE,ACCT,ACCT 101,21922,18,IN PERSON,Lecture,12:30,14:00,MW,Tsang,BE109,36,31,35,0.138888889,34,30,0.882352941
23,0,BE,ACCT,ACCT 101,21924,18,ONLINE,Lecture,TBA,0,0,Osaki,ONLINE,41,32,35,0.219512195,39,27,0.692307692
24,0,BE,ACCT,ACCT 101,30841,18,ONLINE,Lecture,TBA,0,0,Osaki,ONLINE,36,28,35,0.222222222,35,23,0.657142857
25,0,BE,ACCT,ACCT 102,21928,18,IN PERSON,Lecture,12:30,14:00,TuTh,Tsang,BE109,40,31,35,0.225,36,29,0.805555556
26,0,BE,ACCT,ACCT 102,21930,18,ONLINE,Lecture,TBA,0,0,Sahakyan,ONLINE,37,35,35,0.054054054,35,31,0.885714286
27,0,BE,ACCT,ACCT 102,21932,18,IN PERSON,Lecture,8:30,10:00,MW,Lantz,SS140,32,28,35,0.125,29,22,0.75862069
28,0,BE,ACCT,ACCT 102,21934,18,ONLINE,Lecture,TBA,0,0,Johnson,ONLINE,39,29,35,0.256410256,37,28,0.756756757
29,0,BE,ACCT,ACCT 102,27755,18,ONLINE,Lecture,TBA,0,0,Itokazu,ONLINE,29,27,35,0.068965517,28,17,0.607142857
30,0,BE,ACCT,ACCT 130,21936,18,ONLINE,Lecture,TBA,0,0,Bowman,ONLINE,36,26,35,0.277777778,27,25,0.925925926
31,0,BE,ACCT,ACCT 133,21940,18,ONLINE,Lecture,TBA,0,0,Johnson,ONLINE,25,15,27,0.4,20,15,0.75
32,0,BE,ACCT,ACCT 133,21938,15B,ONLINE,Lecture,TBA,0,0,Johnson,ONLINE,28,16,27,0.428571429,24,14,0.583333333
33,0,BE,ACCT,ACCT 160,33061,18,ONLINE,Lecture,TBA,0,0,Ambriz,ONLINE,29,12,27,0.586206897,16,11,0.6875
34,0,BE,ACCT,ACCT 201,21941,18,IN PERSON,Lecture,17:00,18:30,MW,Tsang,BE109,33,28,35,0.151515152,33,27,0.818181818
35,0,BE,ACCT,ACCT 220,28138,15B,ONLINE,Lecture,TBA,0,0,Kroll,ONLINE,29,25,40,0.137931034,27,25,0.925925926
36,0,BE,ACCT,ACCT 250,29090,15B,ONLINE,Lecture,TBA,0,0,Kroll,ONLINE,40,29,35,0.275,34,26,0.764705882
37,0,BE,ACCT,ACCT 270,27768,15B,ONLINE,Lecture,TBA,0,0,Kroll,ONLINE,38,31,42,0.184210526,33,31,0.939393939
38,0,BE,BA,BA 100,20093,18,IN PERSON,Lecture,11:00,12:15,MW,Ramos,SS312,46,35,42,0.239130435,40,30,0.75
39,0,BE,BA,BA 100,20094,18,IN PERSON,Lecture,9:30,10:45,TuTh,Bai,BE119,44,34,42,0.227272727,41,26,0.634146341
40,0,BE,BA,BA 100,31426,18,ONLINE,Lecture,TBA,0,0,Merryman,ONLINE,51,41,42,0.196078431,39,20,0.512820513
41,0,BE,BA,BA 100,21250,18,IN PERSON,Lecture,12:30,13:45,TuTh,Ramirez Vergara,BE119,44,30,42,0.318181818,37,28,0.756756757
42,0,BE,BA,BA 100,24409,18,IN PERSON,Lecture,9:30,10:45,MW,Ramos,SS312,47,38,42,0.191489362,42,33,0.785714286
43,0,BE,BA,BA 100,27759,18,IN PERSON,Lecture,11:00,12:15,TuTh,Grady,BE119,45,39,42,0.133333333,41,39,0.951219512
44,0,BE,BA,BA 100,30374,18,ONLINE,Lecture,TBA,0,0,Helmreich,ONLINE,41,28,42,0.317073171,31,18,0.580645161
45,0,BE,BA,BA 100,21438,15B,ONLINE,Lecture,TBA,0,0,Ramirez Vergara,ONLINE,61,28,42,0.540983607,37,19,0.513513514
46,0,BE,BA,BA 100,20095,15B,IN PERSON,Lecture,12:30,14:00,MW,Bai,BE119,42,32,42,0.238095238,33,26,0.787878788
47,0,BE,BA,BA 100,25587,15B,HYBRID,Lecture,8:00,9:30,MW,Bai,BE119,43,28,42,0.348837209,34,18,0.529411765
48,0,BE,BA,BA 100,33064,15B,IN PERSON,Lecture,9:30,11:00,TuTh,Flanagan,SS141,46,33,42,0.282608696,35,27,0.771428571
49,0,BE,BA,BA 100,27445,9A,ONLINE,Lecture,TBA,0,0,Ramos,ONLINE,43,35,42,0.186046512,36,32,0.888888889
50,0,BE,BA,BA 100,26210,9A,ONLINE,Lecture,TBA,0,0,Grady,ONLINE,47,31,42,0.340425532,37,30,0.810810811
51,0,BE,BA,BA 100,20646,9A,ONLINE,Lecture,TBA,0,0,Hu,ONLINE,44,37,42,0.159090909,37,30,0.810810811
